epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,146.444,1.61683,3.75771,1.26192,0.02191,0.84071,0.02472,0.0134,1.54647,3.47885,1.13384,0.0005001,0.0001667,0.0005001,0.0001667,0.0005001,0.0001667,0.0005001,0.0001667
2,257.659,1.5224,3.63002,1.18244,0.02894,0.89381,0.03676,0.0205,1.47512,3.44655,1.09548,0.00102942,0.000343139,0.00102942,0.000343139,0.00102942,0.000343139,0.00102942,0.000343139
3,328.734,1.39028,3.44636,1.09837,0.03475,0.9469,0.04642,0.027,1.39022,3.41751,1.061,0.00153695,0.000512316,0.00153695,0.000512316,0.00153695,0.000512316,0.00153695,0.000512316
4,401.62,1.37678,3.20706,1.05714,0.03816,0.9823,0.05187,0.03199,1.26984,3.36062,1.02448,0.00202269,0.000674231,0.00202269,0.000674231,0.00202269,0.000674231,0.00202269,0.000674231
5,474.623,1.38163,2.87581,1.07021,0.04037,1,0.06528,0.03955,1.22994,3.21482,1.00335,0.00248666,0.000828886,0.00248666,0.000828886,0.00248666,0.000828886,0.00248666,0.000828886
6,535.093,1.3443,2.42542,1.03736,0.03877,1,0.76622,0.49206,1.21544,2.91939,0.99053,0.00292884,0.000976279,0.00292884,0.000976279,0.00292884,0.000976279,0.00292884,0.000976279
7,595.236,1.39493,2.02742,1.03824,1,0.59396,0.9935,0.60793,1.32638,2.27509,1.04442,0.00334923,0.00111641,0.00334923,0.00111641,0.00334923,0.00111641,0.00334923,0.00111641
8,643.827,1.35855,1.52703,1.02231,0.99058,0.9823,0.9942,0.61258,1.34918,1.72668,1.06362,0.00374784,0.00124928,0.00374784,0.00124928,0.00374784,0.00124928,0.00374784,0.00124928
9,703.96,1.37027,1.34499,1.02389,0.98937,0.99115,0.99473,0.60305,1.37648,1.00875,1.0836,0.00412466,0.00137489,0.00412466,0.00137489,0.00412466,0.00137489,0.00412466,0.00137489
10,751.618,1.31599,1.1893,1.00834,0.99039,0.99115,0.99491,0.61192,1.37526,0.95239,1.08107,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,800.44,1.28338,1.06832,1.07168,0.99607,0.9823,0.99474,0.60509,1.37141,0.97884,1.07794,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,860.641,1.28575,1.04093,1.03072,0.9942,0.99115,0.995,0.61725,1.36287,0.9919,1.05947,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,909.309,1.29523,1.02581,1.034,0.99188,0.99115,0.995,0.62305,1.34189,0.99212,1.04604,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,959.954,1.29658,1.08409,1.03336,0.98153,0.9823,0.99196,0.59859,1.3881,0.9941,1.05461,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,1020.85,1.26424,0.96509,1.01051,0.98961,0.99115,0.99491,0.61338,1.36252,0.88928,1.03657,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,1069.84,1.28294,0.95702,1.00833,0.99114,0.99012,0.99491,0.62171,1.33994,0.85295,1.02668,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,1130.57,1.25589,0.93308,1.01284,0.99434,0.99115,0.995,0.61995,1.35196,0.82673,1.02699,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,1179.2,1.23688,0.91103,1.0044,0.99102,0.97345,0.99448,0.61839,1.34627,0.83485,1.02599,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,1232.45,1.22909,0.90229,0.99459,0.98746,0.97345,0.9911,0.60262,1.37519,0.85599,1.0374,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,1293.97,1.22017,0.88698,1.00896,0.98873,0.99115,0.99491,0.61908,1.32662,0.84943,1.02312,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,1343.24,1.21329,0.87927,0.99623,0.98761,0.99115,0.99473,0.62066,1.34528,0.84375,1.02997,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,1393.75,1.20933,0.85312,1.0037,0.98179,0.9823,0.9877,0.61945,1.35084,0.83298,1.03516,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,1457.6,1.2023,0.83805,0.99068,0.98244,0.99036,0.98661,0.60918,1.36551,0.79478,1.05477,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,1506.12,1.22545,0.8284,1.02403,0.98983,1,0.995,0.62648,1.32496,0.77736,1.03899,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,1566.9,1.23835,0.8202,1.0138,0.98725,0.99115,0.98695,0.61363,1.35098,0.75447,1.05397,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
26,1615.08,1.23948,0.80715,1.02682,0.99685,1,0.995,0.62391,1.33019,0.74043,1.04153,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
27,1666.56,1.21841,0.83352,1.02664,0.99675,1,0.995,0.62897,1.32142,0.74094,1.03594,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
28,1727.3,1.19595,0.81322,1.02222,0.98967,0.99115,0.98757,0.62106,1.34545,0.73112,1.03956,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
29,1778.96,1.20605,0.78966,1.01358,0.9902,0.99115,0.98712,0.62208,1.35436,0.7312,1.03781,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
30,1827.25,1.19157,0.78493,0.9984,0.99022,0.99115,0.98721,0.62261,1.33222,0.71944,1.02846,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,1887.86,1.1744,0.75844,0.98514,0.99024,0.99115,0.98827,0.61219,1.34379,0.72037,1.03167,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,1937.33,1.19753,0.76277,0.98116,0.99026,0.99115,0.98863,0.6175,1.33801,0.71629,1.03372,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,1997.3,1.16866,0.75289,0.99091,0.99055,0.99115,0.98854,0.61883,1.32771,0.71748,1.0358,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,2048.67,1.1898,0.74839,0.99394,0.99056,0.99115,0.98881,0.61771,1.33528,0.7138,1.03954,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,2100.41,1.17817,0.75125,1.00937,0.99052,0.99115,0.98872,0.61892,1.32344,0.71452,1.03773,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,2161.59,1.17043,0.74451,0.97498,0.99051,0.99115,0.98854,0.61286,1.34765,0.70962,1.04767,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,2210.06,1.17368,0.80001,0.98704,0.9905,0.99115,0.98845,0.62404,1.32325,0.70076,1.03698,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,2259.57,1.14305,0.72353,0.97234,0.99052,0.99115,0.98881,0.6247,1.31665,0.69518,1.03155,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,2320.87,1.13683,0.71387,0.97459,0.99056,0.99115,0.98942,0.62571,1.32067,0.69222,1.03542,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,2368.09,1.17953,0.76689,1.00598,0.99058,0.99115,0.9896,0.62534,1.32665,0.68831,1.03821,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,2430.63,1.1835,0.85726,1.01215,0.99043,0.99115,0.98951,0.62764,1.31572,0.67747,1.03529,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,2479.32,1.18943,0.84177,0.99983,0.99005,0.99115,0.98925,0.62548,1.33016,0.68274,1.04046,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,2531.41,1.17336,0.83431,0.999,0.98972,0.99115,0.98925,0.62135,1.34895,0.69308,1.04712,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,2592.81,1.1508,0.81555,0.98343,0.98856,0.99115,0.98942,0.60948,1.36773,0.7064,1.05378,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,2641.12,1.13239,0.81937,0.97469,0.98881,0.99115,0.98969,0.60856,1.37621,0.71114,1.05709,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,2688.54,1.13372,0.79688,0.98445,0.98841,0.99115,0.98969,0.60572,1.39163,0.71638,1.06409,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,2748.77,1.11999,0.80542,0.97515,0.98711,0.99115,0.98996,0.60399,1.3941,0.72011,1.06635,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
