epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,160.24,1.61683,3.75771,1.26192,0.02191,0.84071,0.02472,0.0134,1.54647,3.47885,1.13384,0.0005001,0.0001667,0.0005001,0.0001667,0.0005001,0.0001667,0.0005001,0.0001667
2,269.523,1.52223,3.63131,1.18259,0.02891,0.89381,0.03677,0.0205,1.47243,3.44643,1.09341,0.00100862,0.000336207,0.00100862,0.000336207,0.00100862,0.000336207,0.00100862,0.000336207
3,343.433,1.39011,3.45308,1.0989,0.03457,0.9469,0.04417,0.02591,1.37763,3.417,1.05746,0.00147357,0.000491192,0.00147357,0.000491192,0.00147357,0.000491192,0.00147357,0.000491192
4,416.13,1.38446,3.22175,1.06149,0.03702,0.9469,0.05201,0.03188,1.27767,3.37181,1.03307,0.00189496,0.000631653,0.00189496,0.000631653,0.00189496,0.000631653,0.00189496,0.000631653
5,487.968,1.37922,2.90162,1.07485,0.0397,0.99115,0.06839,0.04008,1.2216,3.22334,1.00134,0.00227277,0.000757591,0.00227277,0.000757591,0.00227277,0.000757591,0.00227277,0.000757591
6,550.359,1.35102,2.48498,1.03514,0.03925,1,0.67256,0.43716,1.22673,2.98307,1.00651,0.00260702,0.000869007,0.00260702,0.000869007,0.00260702,0.000869007,0.00260702,0.000869007
7,613.977,1.39465,2.11089,1.04057,1,0.43419,0.99438,0.61341,1.29865,2.39096,1.04858,0.0028977,0.0009659,0.0028977,0.0009659,0.0028977,0.0009659,0.0028977,0.0009659
8,662.001,1.36368,1.62221,1.02457,1,0.94382,0.99456,0.62495,1.31508,1.89486,1.06079,0.00314481,0.00104827,0.00314481,0.00104827,0.00314481,0.00104827,0.00314481,0.00104827
9,725.37,1.38686,1.44962,1.02792,0.99114,0.98979,0.99465,0.62217,1.32578,1.09093,1.06946,0.00334835,0.00111612,0.00334835,0.00111612,0.00334835,0.00111612,0.00334835,0.00111612
10,776.364,1.32365,1.27118,1.00431,0.9894,1,0.99482,0.61915,1.32726,0.96471,1.07362,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
11,826.86,1.29525,1.10972,1.07182,0.99122,0.99854,0.99491,0.61684,1.33325,0.93527,1.07257,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
12,888.207,1.30448,1.09205,1.03519,1,0.99102,0.995,0.62894,1.30353,0.96331,1.05644,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
13,936.701,1.30742,1.07227,1.03802,0.99034,0.99115,0.99491,0.63989,1.3008,0.99234,1.04987,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
14,988.144,1.30749,1.10958,1.04127,0.98904,0.9823,0.99474,0.62958,1.32505,0.99353,1.05685,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
15,1051.53,1.27302,0.99782,1.01794,0.98957,0.9823,0.99482,0.61878,1.3449,0.96596,1.05669,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
16,1100.99,1.30666,1.2274,1.06069,0.98971,0.9823,0.99482,0.62271,1.33851,0.94008,1.05043,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
17,1166.57,1.27257,1.12779,1.03521,0.99825,0.99115,0.995,0.62358,1.35396,0.90462,1.04703,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
18,1218.71,1.26899,1.03905,1.02986,0.99843,0.99115,0.995,0.61847,1.36833,0.88709,1.04734,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
19,1269.3,1.29722,1.05243,1.03088,0.99816,0.99115,0.995,0.6203,1.36225,0.87802,1.0414,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
20,1335.99,1.25699,1.03937,1.02025,0.9989,0.99115,0.995,0.62068,1.36202,0.87897,1.04053,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
21,1389.31,1.26342,1.03795,1.0369,0.99894,0.99115,0.995,0.62757,1.35008,0.88096,1.03806,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
22,1439.93,1.22925,0.97825,1.0228,0.99859,0.99115,0.995,0.62489,1.34701,0.88376,1.0358,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
23,1500.2,1.22868,0.99711,1.01436,0.99724,0.99115,0.995,0.62879,1.32644,0.88358,1.02916,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
