epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,14.0025,0,31.6816,0,0,0,0,0,0,4.722,0,0,0,0,0,0,0,0,0
2,29.516,0,31.7247,0,0,0,0,0,0,4.72533,0,4.80296e-05,1.60099e-05,4.80296e-05,1.60099e-05,4.80296e-05,1.60099e-05,4.80296e-05,1.60099e-05
3,47.3994,0,31.7119,0,0,0,0,0,0,4.72812,0,9.20984e-05,3.06995e-05,9.20984e-05,3.06995e-05,9.20984e-05,3.06995e-05,9.20984e-05,3.06995e-05
4,64.7828,0,31.6228,0,0,0,0,0,0,4.73031,0,0.000132206,4.40688e-05,0.000132206,4.40688e-05,0.000132206,4.40688e-05,0.000132206,4.40688e-05
5,84.6662,0,31.6933,0,0,0,0,0,0,4.73212,0,0.000168354,5.61179e-05,0.000168354,5.61179e-05,0.000168354,5.61179e-05,0.000168354,5.61179e-05
6,99.9856,0,31.5937,0,0,0,0,0,0,4.73312,0,0.00020054,6.68467e-05,0.00020054,6.68467e-05,0.00020054,6.68467e-05,0.00020054,6.68467e-05
7,116.44,0,31.583,0,0,0,0,0,0,4.7338,0,0.000228766,7.62552e-05,0.000228766,7.62552e-05,0.000228766,7.62552e-05,0.000228766,7.62552e-05
8,132.15,0,31.561,0,0,0,0,0,0,4.7339,0,0.000253031,8.43435e-05,0.000253031,8.43435e-05,0.000253031,8.43435e-05,0.000253031,8.43435e-05
9,134.144,0,31.5019,0,0,0,0,0,0,4.7339,0,0.000273335,9.11116e-05,0.000273335,9.11116e-05,0.000273335,9.11116e-05,0.000273335,9.11116e-05
10,150.778,0,31.5105,0,0,0,0,0,0,4.73688,0,0.000289678,9.65593e-05,0.000289678,9.65593e-05,0.000289678,9.65593e-05,0.000289678,9.65593e-05
11,152.897,0,31.4488,0,0,0,0,0,0,4.73688,0,0.00030206,0.000100687,0.00030206,0.000100687,0.00030206,0.000100687,0.00030206,0.000100687
12,169.936,0,31.408,0,0,0,0,0,0,4.73934,0,0.000310482,0.000103494,0.000310482,0.000103494,0.000310482,0.000103494,0.000310482,0.000103494
13,172.146,0,31.3103,0,0,0,0,0,0,4.73934,0,0.000314943,0.000104981,0.000314943,0.000104981,0.000314943,0.000104981,0.000314943,0.000104981
14,189.321,0,31.3623,0,0,0,0,0,0,4.74143,0,0.000315443,0.000105148,0.000315443,0.000105148,0.000315443,0.000105148,0.000315443,0.000105148
15,192.053,0,31.2794,0,0,0,0,0,0,4.74143,0,0.000311982,0.000103994,0.000311982,0.000103994,0.000311982,0.000103994,0.000311982,0.000103994
16,213.288,0,31.231,0,0,0,0,0,0,4.74345,0,0.000304561,0.00010152,0.000304561,0.00010152,0.000304561,0.00010152,0.000304561,0.00010152
17,217.202,0,31.1684,0,0,0,0,0,0,4.74345,0,0.000293179,9.77262e-05,0.000293179,9.77262e-05,0.000293179,9.77262e-05,0.000293179,9.77262e-05
18,238.634,0,31.1571,0,0,0,0,0,0,4.74584,0,0.000277836,9.26119e-05,0.000277836,9.26119e-05,0.000277836,9.26119e-05,0.000277836,9.26119e-05
19,241.576,0,31.0585,0,0,0,0,0,0,4.74584,0,0.000258532,8.61772e-05,0.000258532,8.61772e-05,0.000258532,8.61772e-05,0.000258532,8.61772e-05
20,258.533,0,31.0905,0,0,0,0,0,0,4.74856,0,0.000235267,7.84223e-05,0.000235267,7.84223e-05,0.000235267,7.84223e-05,0.000235267,7.84223e-05
21,260.596,0,31.0065,0,0,0,0,0,0,4.74856,0,0.000208042,6.93472e-05,0.000208042,6.93472e-05,0.000208042,6.93472e-05,0.000208042,6.93472e-05
22,276.282,0,31.0074,0,0,0,0,0,0,4.75244,0,0.000176855,5.89518e-05,0.000176855,5.89518e-05,0.000176855,5.89518e-05,0.000176855,5.89518e-05
23,278.404,0,30.9881,0,0,0,0,0,0,4.75244,0,0.000141708,4.72361e-05,0.000141708,4.72361e-05,0.000141708,4.72361e-05,0.000141708,4.72361e-05
24,280.494,0,30.9775,0,0,0,0,0,0,4.75244,0,0.000102601,3.42002e-05,0.000102601,3.42002e-05,0.000102601,3.42002e-05,0.000102601,3.42002e-05
25,297.15,0,31.0699,0,0,0,0,0,0,4.76112,0,5.95319e-05,1.9844e-05,5.95319e-05,1.9844e-05,5.95319e-05,1.9844e-05,5.95319e-05,1.9844e-05
